democrat				republican			
Token	LL	F	F2	Token	LL	F	F2
8282296	2.48	0.0	0.03	aco	2.48	0.03	0.0
aco	2.48	0.0	0.03	7:05	2.48	0.03	0.0
7:05	2.48	0.0	0.03	bricker	2.48	0.03	0.0
bricker	2.48	0.0	0.03	boatman	2.48	0.03	0.0
boatman	2.48	0.0	0.03	wkyt	2.48	0.03	0.0
wkyt	2.48	0.0	0.03	bit.ly/2vgj49i	2.48	0.03	0.0
bit.ly/2vgj49i	2.48	0.0	0.03	azgovernor.gov/governor/news/2020/05/governor-ducey-announces-michael-wisehart-director-arizona-department-economic	2.48	0.03	0.0
azgovernor.gov/governor/news/2020/05/governor-ducey-announces-michael-wisehart-director-arizona-department-economic	2.48	0.0	0.03	lindley-myers	2.48	0.03	0.0
lindley-myers	2.48	0.0	0.03	ons	2.48	0.03	0.0
ons	2.48	0.0	0.03	cooperating	2.48	0.03	0.0
cooperating	2.48	0.0	0.03	001jpcdrztuf2iffzaafr5caco9d9otnmcirs9m2jnrbqlxsmccdvafzkhqc6wrncw4o6931cuypvaztsp21aij4riouvabahbwjxzuwf2heym	2.48	0.03	0.0
001jpcdrztuf2iffzaafr5caco9d9otnmcirs9m2jnrbqlxsmccdvafzkhqc6wrncw4o6931cuypvaztsp21aij4riouvabahbwjxzuwf2heym	2.48	0.0	0.03	destined	2.48	0.03	0.0
destined	2.48	0.0	0.03	ktwo	2.48	0.03	0.0
ktwo	2.48	0.0	0.03	waco	2.48	0.03	0.0
waco	2.48	0.0	0.03	9087797	2.48	0.03	0.0
9087797	2.48	0.0	0.03	possess	2.48	0.03	0.0
possess	2.48	0.0	0.03	berkshires	2.48	0.03	0.0
berkshires	2.48	0.0	0.03	arising	2.48	0.03	0.0
arising	2.48	0.0	0.03	06.10	2.48	0.03	0.0
06.10	2.48	0.0	0.03	cokeville	2.48	0.03	0.0
cokeville	2.48	0.0	0.03	dph1.adph.state.al.us/covid-19/	2.48	0.03	0.0
dph1.adph.state.al.us/covid-19/	2.48	0.0	0.03	uf	2.48	0.03	0.0
uf	2.48	0.0	0.03	sunbathing	2.48	0.03	0.0
sunbathing	2.48	0.0	0.03	400,000+	2.48	0.03	0.0
400,000+	2.48	0.0	0.03	star-tribune	2.48	0.03	0.0
star-tribune	2.48	0.0	0.03	ratcliffe	2.48	0.03	0.0
ratcliffe	2.48	0.0	0.03	al200finale.org	2.48	0.03	0.0
al200finale.org	2.48	0.0	0.03	aberdeennews.com/news/local/noe	2.48	0.03	0.0
aberdeennews.com/news/local/noe	2.48	0.0	0.03	dyslexia	2.48	0.03	0.0
dyslexia	2.48	0.0	0.03	steakhouse	2.48	0.03	0.0
steakhouse	2.48	0.0	0.03	blends	2.48	0.03	0.0
blends	2.48	0.0	0.03	lyndon	2.48	0.03	0.0
lyndon	2.48	0.0	0.03	lund	2.48	0.03	0.0
lund	2.48	0.0	0.03	vying	2.48	0.03	0.0
vying	2.48	0.0	0.03	incumbents	2.48	0.03	0.0
incumbents	2.48	0.0	0.03	interpreting	2.48	0.03	0.0
interpreting	2.48	0.0	0.03	9069900	2.48	0.03	0.0
9069900	2.48	0.0	0.03	chronically	2.48	0.03	0.0
chronically	2.48	0.0	0.03	frequency	2.48	0.03	0.0
frequency	2.48	0.0	0.03	surpluses	2.48	0.03	0.0
surpluses	2.48	0.0	0.03	bit.ly/2cl3nuz	2.48	0.03	0.0
bit.ly/2cl3nuz	2.48	0.0	0.03	youtube.com/watch?v=mmzt1c	2.48	0.03	0.0
youtube.com/watch?v=mmzt1c	2.48	0.0	0.03	4m	2.48	0.03	0.0
4m	2.48	0.0	0.03	cisa.gov/publication/gu	2.48	0.03	0.0
cisa.gov/publication/gu	2.48	0.0	0.03	facebook.com/ndhealth/	2.48	0.03	0.0
facebook.com/ndhealth/	2.48	0.0	0.03	perish	2.48	0.03	0.0
perish	2.48	0.0	0.03	keeble	2.48	0.03	0.0
keeble	2.48	0.0	0.03	keetoowah	2.48	0.03	0.0
keetoowah	2.48	0.0	0.03	3-0	2.48	0.03	0.0
3-0	2.48	0.0	0.03	k7.pdf	2.48	0.03	0.0
k7.pdf	2.48	0.0	0.03	jumpstartal	2.48	0.03	0.0
jumpstartal	2.48	0.0	0.03	https://t.co/u4hsosg0fo	2.48	0.03	0.0
https://t.co/u4hsosg0fo	2.48	0.0	0.03	byrd	2.48	0.03	0.0
byrd	2.48	0.0	0.03	72nd	2.48	0.03	0.0
72nd	2.48	0.0	0.03	schafer	2.48	0.03	0.0
schafer	2.48	0.0	0.03	davies	2.48	0.03	0.0
davies	2.48	0.0	0.03	akgov.us/govfb	2.48	0.03	0.0
akgov.us/govfb	2.48	0.0	0.03	humanresources.vermont.gov/popups	2.48	0.03	0.0
humanresources.vermont.gov/popups	2.48	0.0	0.03	genetics	2.48	0.03	0.0
genetics	2.48	0.0	0.03	dumped	2.48	0.03	0.0
dumped	2.48	0.0	0.03	1:15	2.48	0.03	0.0
1:15	2.48	0.0	0.03	lowcountry	2.48	0.03	0.0
lowcountry	2.48	0.0	0.03	mortgages	2.48	0.03	0.0
mortgages	2.48	0.0	0.03	rega	2.48	0.03	0.0
rega	2.48	0.0	0.03	newcastle	2.48	0.03	0.0
newcastle	2.48	0.0	0.03	airspace	2.48	0.03	0.0
airspace	2.48	0.0	0.03	missouripartnership.com	2.48	0.03	0.0
missouripartnership.com	2.48	0.0	0.03	bit.ly/2xtlyh5	2.48	0.03	0.0
bit.ly/2xtlyh5	2.48	0.0	0.03	12-15	2.48	0.03	0.0
12-15	2.48	0.0	0.03	longmeadow	2.48	0.03	0.0
longmeadow	2.48	0.0	0.03	morningconsult.com	2.48	0.03	0.0
morningconsult.com	2.48	0.0	0.03	payers	2.48	0.03	0.0
payers	2.48	0.0	0.03	weaponized	2.48	0.03	0.0
weaponized	2.48	0.0	0.03	20week	2.48	0.03	0.0
20week	2.48	0.0	0.03	lancer	2.48	0.03	0.0
lancer	2.48	0.0	0.03	ataxia	2.48	0.03	0.0
ataxia	2.48	0.0	0.03	health.utah.gov/featured-news/	2.48	0.03	0.0
health.utah.gov/featured-news/	2.48	0.0	0.03	vekeo.com/aarpidaho/	2.48	0.03	0.0
vekeo.com/aarpidaho/	2.48	0.0	0.03	governor.alabama.gov/newsroom/2020/03/governor-ivey-announces-new-primary-runoff-election-date/	2.48	0.03	0.0
governor.alabama.gov/newsroom/2020/03/governor-ivey-announces-new-primary-runoff-election-date/	2.48	0.0	0.03	thedailytimes.com	2.48	0.03	0.0
thedailytimes.com	2.48	0.0	0.03	geauga	2.48	0.03	0.0
geauga	2.48	0.0	0.03	mansion's	2.48	0.03	0.0
mansion's	2.48	0.0	0.03	judd's	2.48	0.03	0.0
judd's	2.48	0.0	0.03	asserted	2.48	0.03	0.0
asserted	2.48	0.0	0.03	04/2020-	2.48	0.03	0.0
04/2020-	2.48	0.0	0.03	figured	2.48	0.03	0.0
figured	2.48	0.0	0.03	jorge	2.48	0.03	0.0
jorge	2.48	0.0	0.03	03.24	2.48	0.03	0.0
03.24	2.48	0.0	0.03	touchstones	2.48	0.03	0.0
touchstones	2.48	0.0	0.03	labor.alabama.gov/news_feed/news_page.aspx	2.48	0.03	0.0
labor.alabama.gov/news_feed/news_page.aspx	2.48	0.0	0.03	16-17	2.48	0.03	0.0
16-17	2.48	0.0	0.03	withheld	2.48	0.03	0.0
withheld	2.48	0.0	0.03	beneville	2.48	0.03	0.0
beneville	2.48	0.0	0.03	dahlstrom	2.48	0.03	0.0
dahlstrom	2.48	0.0	0.03	injection	2.48	0.03	0.0
injection	2.48	0.0	0.03	governs	2.48	0.03	0.0
governs	2.48	0.0	0.03	doraville	2.48	0.03	0.0
doraville	2.48	0.0	0.03	codered	2.48	0.03	0.0
codered	2.48	0.0	0.03	97.6	2.48	0.03	0.0
97.6	2.48	0.0	0.03	likeness	2.48	0.03	0.0
likeness	2.48	0.0	0.03	yext	2.48	0.03	0.0
yext	2.48	0.0	0.03	cutest	2.48	0.03	0.0
cutest	2.48	0.0	0.03	westward	2.48	0.03	0.0
westward	2.48	0.0	0.03	carlson	2.48	0.03	0.0
carlson	2.48	0.0	0.03	madmimi.com	2.48	0.03	0.0
madmimi.com	2.48	0.0	0.03	garza	2.48	0.03	0.0
garza	2.48	0.0	0.03	7ca395e38b4b754e4493499a37de460a33	2.48	0.03	0.0
7ca395e38b4b754e4493499a37de460a33	2.48	0.0	0.03	yellowhammer	2.48	0.03	0.0
yellowhammer	2.48	0.0	0.03	cuida	2.48	0.03	0.0
cuida	2.48	0.0	0.03	craftsmanship	2.48	0.03	0.0
craftsmanship	2.48	0.0	0.03	5,638	2.48	0.03	0.0
5,638	2.48	0.0	0.03	factual	2.48	0.03	0.0
factual	2.48	0.0	0.03	chamber's	2.48	0.03	0.0
chamber's	2.48	0.0	0.03	loot	2.48	0.03	0.0
loot	2.48	0.0	0.03	spark.adobe.com	2.48	0.03	0.0
spark.adobe.com	2.48	0.0	0.03	22.3	2.48	0.03	0.0
22.3	2.48	0.0	0.03	5,477	2.48	0.03	0.0
5,477	2.48	0.0	0.03	autoimmune	2.48	0.03	0.0
autoimmune	2.48	0.0	0.03	disposition	2.48	0.03	0.0
disposition	2.48	0.0	0.03	tinue	2.48	0.03	0.0
tinue	2.48	0.0	0.03	pittsfield	2.48	0.03	0.0
pittsfield	2.48	0.0	0.03	abolition	2.48	0.03	0.0
abolition	2.48	0.0	0.03	0:16	2.48	0.03	0.0
0:16	2.48	0.0	0.03	click2houston.com	2.48	0.03	0.0
click2houston.com	2.48	0.0	0.03	bernhardt	2.48	0.03	0.0
bernhardt	2.48	0.0	0.03	davy	2.48	0.03	0.0
davy	2.48	0.0	0.03	reynoldsgregg.com/vote-early/	2.48	0.03	0.0
reynoldsgregg.com/vote-early/	2.48	0.0	0.03	ablon	2.48	0.03	0.0
ablon	2.48	0.0	0.03	officer-involved	2.48	0.03	0.0
officer-involved	2.48	0.0	0.03	songwriter	2.48	0.03	0.0
songwriter	2.48	0.0	0.03	0gwmhgz56k58_gydaco3tnkq	2.48	0.03	0.0
0gwmhgz56k58_gydaco3tnkq	2.48	0.0	0.03	03.26	2.48	0.03	0.0
03.26	2.48	0.0	0.03	skillsusa	2.48	0.03	0.0
skillsusa	2.48	0.0	0.03	covidconnect	2.48	0.03	0.0
covidconnect	2.48	0.0	0.03	madame	2.48	0.03	0.0
madame	2.48	0.0	0.03	keenum	2.48	0.03	0.0
keenum	2.48	0.0	0.03	absentee-voting.aspx	2.48	0.03	0.0
absentee-voting.aspx	2.48	0.0	0.03	anti-trafficking	2.48	0.03	0.0
anti-trafficking	2.48	0.0	0.03	thus	2.48	0.03	0.0
thus	2.48	0.0	0.03	stadler	2.48	0.03	0.0
stadler	2.48	0.0	0.03	revenue.alabama.gov/revive-alabama/	2.48	0.03	0.0
revenue.alabama.gov/revive-alabama/	2.48	0.0	0.03	tattoo	2.48	0.03	0.0
tattoo	2.48	0.0	0.03	184	2.48	0.03	0.0
184	2.48	0.0	0.03	toby	2.48	0.03	0.0
toby	2.48	0.0	0.03	sturgeon	2.48	0.03	0.0
sturgeon	2.48	0.0	0.03	celina	2.48	0.03	0.0
celina	2.48	0.0	0.03	calvert	2.48	0.03	0.0
calvert	2.48	0.0	0.03	bit.ly/38f2a7q	2.48	0.03	0.0
bit.ly/38f2a7q	2.48	0.0	0.03	wbir.com	2.48	0.03	0.0
wbir.com	2.48	0.0	0.03	great-grandfather's	2.48	0.03	0.0
great-grandfather's	2.48	0.0	0.03	bit.ly/39qgbih	2.48	0.03	0.0
bit.ly/39qgbih	2.48	0.0	0.03	04.15	2.48	0.03	0.0
04.15	2.48	0.0	0.03	daugaard	2.48	0.03	0.0
daugaard	2.48	0.0	0.03	modifies	2.48	0.03	0.0
modifies	2.48	0.0	0.03	04.30	2.48	0.03	0.0
04.30	2.48	0.0	0.03	o-h	2.48	0.03	0.0
o-h	2.48	0.0	0.03	coronavirus.utah.gov/mask/	2.48	0.03	0.0
coronavirus.utah.gov/mask/	2.48	0.0	0.03	stationcallsign	2.48	0.03	0.0
stationcallsign	2.48	0.0	0.03	us-presidential-scholars	2.48	0.03	0.0
us-presidential-scholars	2.48	0.0	0.03	alley	2.48	0.03	0.0
alley	2.48	0.0	0.03	counteract	2.48	0.03	0.0
counteract	2.48	0.0	0.03	liftoff	2.48	0.03	0.0
liftoff	2.48	0.0	0.03	town-hall	2.48	0.03	0.0
town-hall	2.48	0.0	0.03	mba	2.48	0.03	0.0
mba	2.48	0.0	0.03	flourish	2.48	0.03	0.0
flourish	2.48	0.0	0.03	turnarounds	2.48	0.03	0.0
turnarounds	2.48	0.0	0.03	accredited	2.48	0.03	0.0
accredited	2.48	0.0	0.03	o'connor	2.48	0.03	0.0
o'connor	2.48	0.0	0.03	408,000	2.48	0.03	0.0
408,000	2.48	0.0	0.03	clyburn	2.48	0.03	0.0
clyburn	2.48	0.0	0.03	manitoba	2.48	0.03	0.0
manitoba	2.48	0.0	0.03	timesnews.net	2.48	0.03	0.0
timesnews.net	2.48	0.0	0.03	cdc.gov/covid19	2.48	0.03	0.0
cdc.gov/covid19	2.48	0.0	0.03	populated	2.48	0.03	0.0
populated	2.48	0.0	0.03	234	2.48	0.03	0.0
234	2.48	0.0	0.03	338	2.48	0.03	0.0
338	2.48	0.0	0.03	transparentshowcases.idaho.gov/pages/direct-i	2.48	0.03	0.0
transparentshowcases.idaho.gov/pages/direct-i	2.48	0.0	0.03	informado	2.48	0.03	0.0
informado	2.48	0.0	0.03	self-response	2.48	0.03	0.0
self-response	2.48	0.0	0.03	1011now.com/content/news/l	2.48	0.03	0.0
1011now.com/content/news/l	2.48	0.0	0.03	497	2.48	0.03	0.0
497	2.48	0.0	0.03	worthwhile	2.48	0.03	0.0
worthwhile	2.48	0.0	0.03	kctv5.com	2.48	0.03	0.0
kctv5.com	2.48	0.0	0.03	boca	2.48	0.03	0.0
boca	2.48	0.0	0.03	pompous	2.48	0.03	0.0
pompous	2.48	0.0	0.03	snowfall	2.48	0.03	0.0
snowfall	2.48	0.0	0.03	hygienic	2.48	0.03	0.0
hygienic	2.48	0.0	0.03	frugality	2.48	0.03	0.0
frugality	2.48	0.0	0.03	billlee.com/yardsign	2.48	0.03	0.0
billlee.com/yardsign	2.48	0.0	0.03	eisele	2.48	0.03	0.0
eisele	2.48	0.0	0.03	04.28	2.48	0.03	0.0
04.28	2.48	0.0	0.03	03.25	2.48	0.03	0.0
03.25	2.48	0.0	0.03	antigen	2.48	0.03	0.0
antigen	2.48	0.0	0.03	yager	2.48	0.03	0.0
yager	2.48	0.0	0.03	bit.ly/2w97pqv	2.48	0.03	0.0
bit.ly/2w97pqv	2.48	0.0	0.03	keni	2.48	0.03	0.0
keni	2.48	0.0	0.03	ozark	2.48	0.03	0.0
ozark	2.48	0.0	0.03	freidel	2.48	0.03	0.0
freidel	2.48	0.0	0.03	dannette	2.48	0.03	0.0
dannette	2.48	0.0	0.03	ferris	2.48	0.03	0.0
ferris	2.48	0.0	0.03	gional-govt--politics	2.48	0.03	0.0
gional-govt--politics	2.48	0.0	0.03	wednesdays	2.48	0.03	0.0
wednesdays	2.48	0.0	0.03	billlee.com/farm/	2.48	0.03	0.0
billlee.com/farm/	2.48	0.0	0.03	nicky's	2.48	0.03	0.0
nicky's	2.48	0.0	0.03	pscp.tv/w/cinhzzfvtlfs	2.48	0.03	0.0
pscp.tv/w/cinhzzfvtlfs	2.48	0.0	0.03	62,000	2.48	0.03	0.0
62,000	2.48	0.0	0.03	9055009	2.48	0.03	0.0
9055009	2.48	0.0	0.03	parnell	2.48	0.03	0.0
parnell	2.48	0.0	0.03	csm	2.48	0.03	0.0
csm	2.48	0.0	0.03	voland	2.48	0.03	0.0
voland	2.48	0.0	0.03	dailystarjournal.com	2.48	0.03	0.0
dailystarjournal.com	2.48	0.0	0.03	dxgyeegezygm	2.48	0.03	0.0
dxgyeegezygm	2.48	0.0	0.03	crusin	2.48	0.03	0.0
crusin	2.48	0.0	0.03	pp	2.48	0.03	0.0
pp	2.48	0.0	0.03	gop-waysandmeans.house.gov	2.48	0.03	0.0
gop-waysandmeans.house.gov	2.48	0.0	0.03	1-888-264-2256	2.48	0.03	0.0
1-888-264-2256	2.48	0.0	0.03	74.2	2.48	0.03	0.0
74.2	2.48	0.0	0.03	balcony	2.48	0.03	0.0
balcony	2.48	0.0	0.03	smithville	2.48	0.03	0.0
smithville	2.48	0.0	0.03	discus	2.48	0.03	0.0
discus	2.48	0.0	0.03	busts	2.48	0.03	0.0
busts	2.48	0.0	0.03	garrison	2.48	0.03	0.0
garrison	2.48	0.0	0.03	blew	2.48	0.03	0.0
blew	2.48	0.0	0.03	9137842	2.48	0.03	0.0
9137842	2.48	0.0	0.03	mcclure	2.48	0.03	0.0
mcclure	2.48	0.0	0.03	montgomeryadvertiser.com/story/news/202	2.48	0.03	0.0
montgomeryadvertiser.com/story/news/202	2.48	0.0	0.03	superiority	2.48	0.03	0.0
superiority	2.48	0.0	0.03	governor.utah.gov/2020/06/19/mov	2.48	0.03	0.0
governor.utah.gov/2020/06/19/mov	2.48	0.0	0.03	hawarden	2.48	0.03	0.0
hawarden	2.48	0.0	0.03	commercialappeal.com	2.48	0.03	0.0
commercialappeal.com	2.48	0.0	0.03	home-order	2.48	0.03	0.0
home-order	2.48	0.0	0.03	bit.ly/2wnikfb	2.48	0.03	0.0
bit.ly/2wnikfb	2.48	0.0	0.03	bit.ly/2situfs	2.48	0.03	0.0
bit.ly/2situfs	2.48	0.0	0.03	facebook.com/governorpeteri	2.48	0.03	0.0
facebook.com/governorpeteri	2.48	0.0	0.03	hb1	2.48	0.03	0.0
hb1	2.48	0.0	0.03	ess	2.48	0.03	0.0
ess	2.48	0.0	0.03	untouched	2.48	0.03	0.0
untouched	2.48	0.0	0.03	gaffney	2.48	0.03	0.0
gaffney	2.48	0.0	0.03	hotshots	2.48	0.03	0.0
hotshots	2.48	0.0	0.03	cos	2.48	0.03	0.0
cos	2.48	0.0	0.03	diocese	2.48	0.03	0.0
diocese	2.48	0.0	0.03	straightforward	2.48	0.03	0.0
straightforward	2.48	0.0	0.03	hd28	2.48	0.03	0.0
hd28	2.48	0.0	0.03	october's	2.48	0.03	0.0
october's	2.48	0.0	0.03	nam05.safelinks.protection.outlook.com/?url=https%3a%	2.48	0.03	0.0
nam05.safelinks.protection.outlook.com/?url=https%3a%	2.48	0.0	0.03	refills	2.48	0.03	0.0
refills	2.48	0.0	0.03	wsav	2.48	0.03	0.0
wsav	2.48	0.0	0.03	dewine-husted	2.48	0.03	0.0
dewine-husted	2.48	0.0	0.03	albans	2.48	0.03	0.0
albans	2.48	0.0	0.03	governor.vermont.gov/press-release/governor-phil-scott-announces-re-opening-some-outdoor-recreation-and-limited-social	2.48	0.03	0.0
governor.vermont.gov/press-release/governor-phil-scott-announces-re-opening-some-outdoor-recreation-and-limited-social	2.48	0.0	0.03	1947	2.48	0.03	0.0
1947	2.48	0.0	0.03	209	2.48	0.03	0.0
209	2.48	0.0	0.03	crittenden	2.48	0.03	0.0
crittenden	2.48	0.0	0.03	sargent	2.48	0.03	0.0
sargent	2.48	0.0	0.03	well-trained	2.48	0.03	0.0
well-trained	2.48	0.0	0.03	sub-national	2.48	0.03	0.0
sub-national	2.48	0.0	0.03	dabo	2.48	0.03	0.0
dabo	2.48	0.0	0.03	kysoc	2.48	0.03	0.0
kysoc	2.48	0.0	0.03	gaynor	2.48	0.03	0.0
gaynor	2.48	0.0	0.03	non-starter	2.48	0.03	0.0
non-starter	2.48	0.0	0.03	jo	2.48	0.03	0.0
jo	2.48	0.0	0.03	undergrad	2.48	0.03	0.0
undergrad	2.48	0.0	0.03	withhold	2.48	0.03	0.0
withhold	2.48	0.0	0.03	registe's	2.48	0.03	0.0
registe's	2.48	0.0	0.03	deckard	2.48	0.03	0.0
deckard	2.48	0.0	0.03	lagoa	2.48	0.03	0.0
lagoa	2.48	0.0	0.03	03.31	2.48	0.03	0.0
03.31	2.48	0.0	0.03	ballad	2.48	0.03	0.0
ballad	2.48	0.0	0.03	waff.com/2020/02/06/ale	2.48	0.03	0.0
waff.com/2020/02/06/ale	2.48	0.0	0.03	kwwl.com	2.48	0.03	0.0
kwwl.com	2.48	0.0	0.03	learner's	2.48	0.03	0.0
learner's	2.48	0.0	0.03	chops	2.48	0.03	0.0
chops	2.48	0.0	0.03	camry	2.48	0.03	0.0
camry	2.48	0.0	0.03	nikhil	2.48	0.03	0.0
nikhil	2.48	0.0	0.03	bradenton	2.48	0.03	0.0
bradenton	2.48	0.0	0.03	56-0	2.48	0.03	0.0
56-0	2.48	0.0	0.03	chopped	2.48	0.03	0.0
chopped	2.48	0.0	0.03	jeans	2.48	0.03	0.0
jeans	2.48	0.0	0.03	deshka	2.48	0.03	0.0
deshka	2.48	0.0	0.03	cketts	2.48	0.03	0.0
cketts	2.48	0.0	0.03	rubble	2.48	0.03	0.0
rubble	2.48	0.0	0.03	magna	2.48	0.03	0.0
magna	2.48	0.0	0.03	value-added	2.48	0.03	0.0
value-added	2.48	0.0	0.03	wowt.com	2.48	0.03	0.0
wowt.com	2.48	0.0	0.03	commandments	2.48	0.03	0.0
commandments	2.48	0.0	0.03	15pm	2.48	0.03	0.0
15pm	2.48	0.0	0.03	9113697	2.48	0.03	0.0
9113697	2.48	0.0	0.03	ids	2.48	0.03	0.0
ids	2.48	0.0	0.03	health.nd.gov/news/state-lab	2.48	0.03	0.0
health.nd.gov/news/state-lab	2.48	0.0	0.03	commute	2.48	0.03	0.0
commute	2.48	0.0	0.03	academies	2.48	0.03	0.0
academies	2.48	0.0	0.03	resonates	2.48	0.03	0.0
resonates	2.48	0.0	0.03	wiggins	2.48	0.03	0.0
wiggins	2.48	0.0	0.03	espread-and-significant-severe-weather-saturday-with-flooding-rains-into-next-week	2.48	0.03	0.0
espread-and-significant-severe-weather-saturday-with-flooding-rains-into-next-week	2.48	0.0	0.03	covid-exclusive	2.48	0.03	0.0
covid-exclusive	2.48	0.0	0.03	lucie	2.48	0.03	0.0
lucie	2.48	0.0	0.03	siente	2.48	0.03	0.0
siente	2.48	0.0	0.03	unalienable	2.48	0.03	0.0
unalienable	2.48	0.0	0.03	ok.gov/oem	2.48	0.03	0.0
ok.gov/oem	2.48	0.0	0.03	lundak	2.48	0.03	0.0
lundak	2.48	0.0	0.03	influenced	2.48	0.03	0.0
influenced	2.48	0.0	0.03	tsmc's	2.48	0.03	0.0
tsmc's	2.48	0.0	0.03	zanesville	2.48	0.03	0.0
zanesville	2.48	0.0	0.03	fonda	2.48	0.03	0.0
fonda	2.48	0.0	0.03	starters	2.48	0.03	0.0
starters	2.48	0.0	0.03	dwain	2.48	0.03	0.0
dwain	2.48	0.0	0.03	interventionist	2.48	0.03	0.0
interventionist	2.48	0.0	0.03	netanyahu	2.48	0.03	0.0
netanyahu	2.48	0.0	0.03	pughes	2.48	0.03	0.0
pughes	2.48	0.0	0.03	ssg	2.48	0.03	0.0
ssg	2.48	0.0	0.03	textiles	2.48	0.03	0.0
textiles	2.48	0.0	0.03	2/6	2.48	0.03	0.0
2/6	2.48	0.0	0.03	wired	2.48	0.03	0.0
wired	2.48	0.0	0.03	bibles	2.48	0.03	0.0
bibles	2.48	0.0	0.03	state-sponsored	2.48	0.03	0.0
state-sponsored	2.48	0.0	0.03	huang	2.48	0.03	0.0
huang	2.48	0.0	0.03	1950	2.48	0.03	0.0
1950	2.48	0.0	0.03	fvcmy	2.48	0.03	0.0
fvcmy	2.48	0.0	0.03	1776	2.48	0.03	0.0
1776	2.48	0.0	0.03	newschannel6now.com	2.48	0.03	0.0
newschannel6now.com	2.48	0.0	0.03	www1.iowajobs.org/jobs/login.seek	2.48	0.03	0.0
www1.iowajobs.org/jobs/login.seek	2.48	0.0	0.03	re-start	2.48	0.03	0.0
re-start	2.48	0.0	0.03	individual's	2.48	0.03	0.0
individual's	2.48	0.0	0.03	ernor-hogan-leads-san-francisco-summit-focused-on-eliminating-red-tape-and-integrating-smart-technology	2.48	0.03	0.0
ernor-hogan-leads-san-francisco-summit-focused-on-eliminating-red-tape-and-integrating-smart-technology	2.48	0.0	0.03	heavens	2.48	0.03	0.0
heavens	2.48	0.0	0.03	seoc	2.48	0.03	0.0
seoc	2.48	0.0	0.03	wgbh.org/commencement20	2.48	0.03	0.0
wgbh.org/commencement20	2.48	0.0	0.03	chocolates	2.48	0.03	0.0
chocolates	2.48	0.0	0.03	agawam	2.48	0.03	0.0
agawam	2.48	0.0	0.03	anchored	2.48	0.03	0.0
anchored	2.48	0.0	0.03	benefitted	2.48	0.03	0.0
benefitted	2.48	0.0	0.03	titans	2.48	0.03	0.0
titans	2.48	0.0	0.03	transgressions	2.48	0.03	0.0
transgressions	2.48	0.0	0.03	04.19	2.48	0.03	0.0
04.19	2.48	0.0	0.03	fast-tracking	2.48	0.03	0.0
fast-tracking	2.48	0.0	0.03	r-idaho	2.48	0.03	0.0
r-idaho	2.48	0.0	0.03	yallpolitics.com/2019/06/28/hud	2.48	0.03	0.0
yallpolitics.com/2019/06/28/hud	2.48	0.0	0.03	watermelons	2.48	0.03	0.0
watermelons	2.48	0.0	0.03	12/20	2.48	0.03	0.0
12/20	2.48	0.0	0.03	spending-houston	2.48	0.03	0.0
spending-houston	2.48	0.0	0.03	kindred	2.48	0.03	0.0
kindred	2.48	0.0	0.03	7431223	2.48	0.03	0.0
7431223	2.48	0.0	0.03	dorian's	2.48	0.03	0.0
dorian's	2.48	0.0	0.03	billion-plus	2.48	0.03	0.0
billion-plus	2.48	0.0	0.03	lacy	2.48	0.03	0.0
lacy	2.48	0.0	0.03	quiet	2.48	0.03	0.0
quiet	2.48	0.0	0.03	duane	2.48	0.03	0.0
duane	2.48	0.0	0.03	risch.senate.gov	2.48	0.03	0.0
risch.senate.gov	2.48	0.0	0.03	assaults	2.48	0.03	0.0
assaults	2.48	0.0	0.03	392,240	2.48	0.03	0.0
392,240	2.48	0.0	0.03	explicit	2.48	0.03	0.0
explicit	2.48	0.0	0.03	verifiable	2.48	0.03	0.0
verifiable	2.48	0.0	0.03	praising	2.48	0.03	0.0
praising	2.48	0.0	0.03	hums	2.48	0.03	0.0
hums	2.48	0.0	0.03	unknowns	2.48	0.03	0.0
unknowns	2.48	0.0	0.03	jungle	2.48	0.03	0.0
jungle	2.48	0.0	0.03	polarizing	2.48	0.03	0.0
polarizing	2.48	0.0	0.03	marinas	2.48	0.03	0.0
marinas	2.48	0.0	0.03	7.29	2.48	0.03	0.0
7.29	2.48	0.0	0.03	jackson's	2.48	0.03	0.0
jackson's	2.48	0.0	0.03	pcom	2.48	0.03	0.0
pcom	2.48	0.0	0.03	tanks	2.48	0.03	0.0
tanks	2.48	0.0	0.03	toughen	2.48	0.03	0.0
toughen	2.48	0.0	0.03	streak	2.48	0.03	0.0
hoard	2.48	0.0	0.03	hoard	2.48	0.03	0.0
ace	2.48	0.0	0.03	ace	2.48	0.03	0.0
spaceport	2.48	0.0	0.03	spaceport	2.48	0.03	0.0
ufc	2.48	0.0	0.03	ufc	2.48	0.03	0.0
azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-testing	2.48	0.0	0.03	azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-testing	2.48	0.03	0.0
prayed	2.48	0.0	0.03	prayed	2.48	0.03	0.0
roxbury's	2.48	0.0	0.03	roxbury's	2.48	0.03	0.0
multimodal	2.48	0.0	0.03	multimodal	2.48	0.03	0.0
kens5.com/article/news/h	2.48	0.0	0.03	kens5.com/article/news/h	2.48	0.03	0.0
tel	2.48	0.0	0.03	tel	2.48	0.03	0.0
